冽	例側琍準凍咧荊紜洌列硎涮芸裂雲測凝倒惻次耘捌蜊前烈俐冶冷喇冰
龍	膀滂鎊矓攏敵獻龐壟隴嚨離龔傍聾襲蘢榜旁瓏籠朧寵
錐	鐫進椎淮推惟堆唯隹崔銼離雜雉雊稚碓睢雄帷準
畢	嗶蹕卅幸辛圉苦芰芾南毋梓莘悻華著萋宰倖睪楛薴葫鋅蕙
燕	嚥蕉蕪蒸薰煎蕭菊忠蓆庶蘸英荻鞦蕊蕙慕蔗蔥痰惹葉葬席患芯藪菲荊
揳	契楔
敘	政救啟敵玫致數敗教敬敞散敖斂敏塗畋故效牧徐放除敦敕孜途敢敝敉攻餘斜枚敔
侷	跼局倨伊距巨倀仞伺伽僻叵炬拒矩鉅倔偃苣促侶倘何估佔佃作佝仿夥
底	氐或邸柢舐泜昏砥胝婚祇祗牴低抵紙衹詆些氏
鱉	幣魚鱟氅鯈嚕蔽敞弊撇櫓斃漁廠瞥憋彆敝魯鯊燃
出	絀窟咄攬掘崛倔櫬茁山黜拙親襯欖屈笨微覽祟撬橇
予	預豫妤序抒杼野舒澦多侈歿栘夕矛了爹移墅夥
鞦	鍬揪愀啾革鰍靴鞘鞣鞠鞋靶勒鞍靼鞭韃韆鞅秋韉審
瑚	湖糊蝴葫胡琯斑班玥玨琛王鬍瑕琺琳做玳鈷瑭球蛄珠珊玷枯沽姑咕估
鶴	鴣鷓鵠鵲鵝島鵑鳩鴒鳶鶉鳥鴉鴦鷂鴨鴆鶯鴿鷗鷹鳴鸛鵪
沛	肺汁滇芾浦沬沽悖脖潸渤湖潮荸淒渚嗦嚏甫孛
撇	廠蔽撒敞敝撤捎擻擋澈挨彆弊敵散撐徹嫩嗷傲遨橄瞰做邀攸銷梢逍悄
僥	嬈撓澆曉橈燒蹺鐃繞蟯饒驍堯珪佳僖儔侍仕圭
吋	忖付村肘討咐寸守寺封射尉對呆紂辱專尊耐侍峙保恃持時潯噪府痔符
乃	孕仍奶扔秀氖莠透戶乍作妒咋肩怎昨柔柞炸笮誘
汁	沛沽沬沱淒渚淙渲滓溶潸濘濱瀉瀋湖潮水汗汛沫洱滇演十
況	祝兗兄侃競克兌悅脫銳澠沉嗅泯洗稅浥涓溴剋閱
寞	摸漠模膜糢蟆謨卉冪莫墓慕摹暮賁幕寬募厝昔
遵	樽撙蹲遭尊褥邁糟槽漕嘈傳特時狩持恃峙侍蔚團
窠	空穹窗窄突穿簾究果裸棵窒巢竊裹竇稞猓窪窕窮窈窟窩窘窖窯課踝髁
箏	猙錚淨掙崢睜爭靜諍筋籐筒算篡纂榮等菜受筧奧臬菔竹自血凸脹朋向
氏	氐邸柢舐妁泜昏砥衣胝婚祇民祗她忘牴低抵紙衹詆底
衷	迎遠旅袋依衽裁裒昂袁衰遣抑昏衣婁迪袈袞畜仰裳哀亮逮衹裹褒氏襄蓑
類	頗煩顆顯頌願顥頻頷頭頹頤頰穎頡頜領碩頑頓頊頒預須項頂頃
埤	啤婢俾脾裨陴睥碑痺箄牌卑鼙顰塊千垢坼圻埠箠
扣	捐拐揖抿捉損手拓拈拘擡拮口如找撲扎釦撰操捌品
彙	髁雷果互繅裹蕾窠電巢稞棵裸猓擂錄沍鐳肯青碌祿夥將課踝剝顆
慢	鏝慷饅甲怛曙耆惜旬縵漫悍懷惕憬幔憫惺鰻恨曼愒蔓
應	膺鷹志截雄恙隹雖惟仕焦集崔售罹痣錐憔椎進推淮堆唯準
歿	歹殃殉死列殊殆殘殖殤殮殯殲例洌咧予夙屍多
常	掌棠當賞黨尚嘗裳嫦堂吊蒂肖啼帥噹席希砸削炯膛擋瞞檔襠鏜鐺
鋁	呂鉛稅兌兗櫚閱鎚莒阜釦悅沿侶銳營鎢袞脫宮閭嗚
蜂	蜓路珞蟲飯蝦蟋絳蓬蜻峯舨蟆篷蟠蛇蝌烽降蚱蚌蛞蝙縫蛾鋒蜊蝗逢蜈蛛峰
膈	鎘隔鬲脰同胴幅硼融銅桐洞恫峒筒盒臉砠碉壹
妃	厄呃扼改範杞凹記配忌己妮紀已卷危氾卮犯姬
般	芟殺穀亢骰殿殼沒股殷磐瘢槃役投搬設毀殳毆盤段毅疫
魄	魏塊蒐槐皋皈愧皁魁瑰皓帛魘的魂白傀幾皇餽醜泉皎鬼
緊	腎堅賢豎絲紊繫紫絮繁累紮索素系羅喲縲濰蘊辮
岱	貸袋黛代弋玳屯伐飩式嶽庖疝忍惠筏念岑今肫囤拭沌匈伏涔仙惴鈍愷
療	嘹疒撩暸餚痍希潦爻顯瘦瘓瘸痂僚病痰剎疼癢寮繚燎遼瞭疸
皖	梡院莞寇完暄玩白皋皇皁皓棕淙皚魄的泉冠帛元
酪	酷酩路鉻略咯胳烙格洛恪醺賂詻酸絡骼酥醜酉
璜	橫磺簧弄黌瑛琪玨璞黃瑾斑班璿琛珪理珊王璣璟璋璃璀璩環璦瑤瑞琿
苔	茗笞蔗臺胎迨治擡怡始蓆怠或莽茂冶菩萵哉名殆貽跆
琅	浪娘狼食班養球瑭玨良珀玥瑰斑瑯王理珠珊玷玩玟玫玖璞琉飧瑁琺玳
麟	磷粥麋麝麒鏖遴燐轔嶙舜粼塵鱗麂鑣璘憐麓麗毗鹿
砲	咆胞炮袍泡抱鉋跑苞庖磊鮑皰匏飽包雹碟砧劬刨石
襬	擺罷熊態能蜆比毗庇鐸鐲觸躅髑燭曙獨澤濁擇鉀胛柙押呷紕枇沘批妣
儕	躋擠濟臍僕齊薺佔位住依仿劑霽偵偯倍伉齋禽企
席	滿瞞蓆蹣庶度蒂戒弁希廣英巾常怖佈瑛鈽厲冪幫癘吊布懣庸砸啼棉飾
扮	汾吩份粉紛芬拐氛分岔忿招盆枴刀貧寡揚初叨盼砌撳券召剪棻
僵	侖彊薑儉會膾檜仁燴佞疆儈偎拿倫儡偷盒命殭合偭佺韁俞
淆	餚洧餚崤汰浹汍有學爻侑滯宥囿鱟淌渚淦消浦洶洎洫鬱沮泱滴沁沈沛
輪	侖掄輳輾軏輜淪輸輛輔轔轎轟倫轅軛輕轄輻轉軋輊輯車綸軟轍軾論崙軒
禽	擒噙漓僕璃魑企儕位住佔傍停偵偯倍依伉仿每乞崩人傚僮億朔倣信儲
饉	餅僅蝕餿餽餚餓瑾餌餉餃飼飽飯飩飲飪飢謹饅餵館餞餡餘餒飴飾飭
賬	賑貝貼賄貪賅悵賊敗脹賀貨則財貧賭責貯賒販賺賤貽萇帳張倀負
怕	遑迫鉑湟錦愧篁必帕陌腺棉白柏粕煌葩嗥拍泊泉伯舶惶 珀
壩	霸灞糯燸嚅懦濡儒鐳蠕孺擂擾優革蕾鞘需雷鞍靼塭掄淪倫垣圬鞋鞅靶
鐵	穗磚傳針蕙鏗轉銨截團惠栽哉鈷專鎔錠戴載裁
韃	撻躂韆革鞋達鞦鞭靴鞘靶勒韉鞍靼鞠鞅韁鞣緙霸鞏
匈	兇洶胸屯酗囤沌肫鈍旬句甸勾勺兇心愷勻劬快岱恢盹峽芻崤惴
冒	眉苜目相帽瑁省看盲眷明督算瞥瞽篡渺懼瞿廂萌箱纂貝自盹眇盯眼媚
嘍	摟樓褸鏤屢簍縷螻髏呻婁屨砷呷申坤伸嘯哽神
褻	藝熱勢丸襄裹裒衰囈執汍甕壅爹逵孰姨娃卦外
靂	瀝壢歷雲震雩靈霎黴零霽霓雯雪霖霏雨霤霍霄霾露霹霰霪霞霜霑霆
垠	恨根退銀堰艮痕狠限眼很跟艱齦坦腿褪偃良宴書
賻	膊溥搏博傅縛賊賤貽鋪贓貯脯貝購賠賜贈賒賂貶贖賭賄補財浦捕埔哺
絮	絲累系紮紊素索喲紫縲糸濰緊繁繫細嫘恕羅蘊絨結絢絆絃絀組紲絹綑
甩	用扎傭毛拙甭目甬牝尾指摧憊月手山批俑湧耗娓毫桶恿通痛毯備撬氅
拷	烤銬考技捷按搾丈拉拄抹拒拈抖抉抆杖撲仗擠挖控擰攏豐
杆	幹稈軒
崔	奮準隹懼焦帷僱碓蕉唯雄催雉售睢淮瞧堆稚惟椎雛璀錐集推瞿摧進
街	銜衍衝衢術衡衙衛桁行徵徒待微徘御徵往彿徐
眈	耽
懺	殲讖籤纖韭愴恰三憔憮愾愕惰愉悔慷慵蝕傭惟辰
撢	潭罈蕈譚覃樟璋漳標膘幛漂嫖獐瞟障蟑鏢驃早瘴
拆	訴坼扳捶揪晰斥提託撲括哲扒下抓插播浙排柝斤抵析逝掀拍折搗近撕
簾	箴謙歉麼戒獷廉簫嫌弁鐮濂箕賺縑笞笠兼乏鬼箋
日	曰昌旦明杲旬汨昔杳晶巴白早百艮門旱旺昊昇昧昨昱冒晏倡娼唱暗
跦	侏踵跌趴銖踝硃株跺足跟距跚踞趺珠蹕躋踩蹂茱
燦	烙粲粥咪焙迷炕璨籽謎假遐餐燐粱炫瞇葭米愾粒煆粕料敉熾掬糕粗暇燃
染	孝朵閑夷九汍子哮李梨痍姨咦胰教旭仇柔架柒杲桀疚採樑牀宋孚究呆
尼	屁它比妮呢怩庇昆匕叱化仳妣批沘枇毗皁紕能
餵	餒餞餘飴館餡餾饅饒饑飾飭偎餽餌餅蝕飼飪飩飲飢
劫	劻劾邊勳男另動勒勤幼勵勸助劬勢伽肋叻功去勘迦咖力拗勛觔勉黝勃歷協脅
肉	內腐瘸吶鈉丙傭豪兩佾胥炳柄俎俘納病倆祭敝帷敞散榷敵憊離
氤	氳氣氧氟氖氨氮氦氯氬氛茵氫胭姻咽愾邱汽嗯
澎	膨彭彬樹趁珍疹穆諺診廚鼓形須彫衫杉鬚彥派法影彰彩浩彤箄喜鼙
芍	芯葡灼杓妁釣苟荀的約勾勺苞菊豹酌蔔葉蕊怡勻
濠	壕嚎蠔涼淳豪漓淬液沾澶鎬槁搞婷停沆稿犒涓篙蒿嵩高亭
份	汾吩扮俗盼刀氛棻粉岔砌紛傷貧枴盆忿剪仞叨召拐分初寡芬
迤	拖施他迆途迄也逾池弛她地夜訑牠進佝跑馳卒褒
譎	橘謂請諂誦諍訊識證譏譫謠謐諼誼談諉認誡誥誌詫試詩詰詼詣詭詔設
綞	錘捶唾睡陲箠絲紙縲緞細紲組紗紆編線繙糸緘緬緙綽綠維緒縑縝縯絢
獨	呷猜鉀獰猾猙狩躅狎柙蟲胛猥蠶玀蛋觸猖押獷狸鐲狗髑狄蜀狷歜濁猓燭匣
青	倩請猜靜精毒擂債蜻磧情菁積睛責清嘖晴素鯖漬靖
餛	錕焜棍混琨饅崑餞餡餒飴館餘餵餾飾媲饒饑飭饞餓餅餌餉餽飽飪飯飩
株	朱狩板宋茱跦硃槐誅珠千林材柝未才柏侏析殊銖蛛柞
點	黜默黠黯黔黷黝玷沾拈佔貼站砧帖黑店黏嘿佔墨
葫	苦湖瑚糊鬍蝴胡楛居古鈷枯沽姑固咕估芾菅牯
枋	肪妨坊仿防房芳彷紡旁舫訪榜倣淤遊方菸瘀遊
仁	佞三二竺僵合祭但侖些俞拿會低沅佺倥伍佰丘元雲示全餘命盒
森	痳林淋霖琳彬棟梱材村橾孱楝木焚婪杳傑杲採李杏牀宋呆棵杜沐困樸
東	凍柙木鍊棟潘煉柬蕃田番墦播棵揀稞楝梱陳審
配	酒釅醮酥酸醞酊酵醴醒醉醺醇酴醣酩酗酉醋酪釀酷醃醜酣酬酌
及	洛扳烙閣咯板阪各伋鈑殼吸皈返恪又汲叛冬岌降反級圾格幾極疼咚皮客
嘿	哩黛黑墨喱鋰裡埋娌浬俚裡黠啖理狸童喟燻貍默壎黜點鯉
簷	膽簷澹擔瞻蟾譫贍詹答筒小簽籥逼逗言箴第磊筵石上穢銅
鍥	楔喫契鈇夭鈽錶燠錡澳懊噢鋒襖鉻駁鉛換鈑拍沃扳妖託扒金齧笑奏忝
謠	請調諾謀講謁許談諉瑤諍謂搖諭諳誼榣遙謊訖計詛謐訕詰謨諼諒諜諦
跚	踩跦跤姍踐蹈跼柵趴跆跑蹊跋蹕趾踫踞踏蹦跌踱蹉蹣距趺踝足跟躋蹼
抉	快決袂抹缺訣鴃耒披揀筷找抆扣撲扎手抄技扶扭把抖扳拉拌拄拒拓拔
車	轟軋軌軒軏軟軸軔軛軻軼較軾輊輔輒輥輻輯輾
四	泗田金囚回因匹困異黃囝囤固囿穴思胃淦鉛鈿
雪	霞霽霜零靈掃雩雨霾霎霪露霆霰霄霤雲霹霓霑雯尋霏黴霖震霍
濺	賤鋇員惻側狽贊貴貫貨責潰漬賊貽貝貲賃廁費賀買貸貢
纔	攙巉儳讒饞毚縲絲紕綺絃纏纜織繙繒繃縐線緝綾綴綿絹絕給絳絡絨結
釘	頂坷酊針空汽錡釦汀打釙河呵柯薴歹欽丁叮可貯鉗仃訂鐳鈣釭盯佇鈕
衆	從叢縱樅
詹	言訾這檐減喊逗蘑洞蟾洽簷閤逼銅譫桐擔瞻礬胴澹筒贍磊答譽膽石
敔	啟故敬斂敘敕敉敢枚玫攻寤吾敝敖敞散政畋致牧敵數改孜收衙
刑	刊釗利剌制割劊劍荊劂剛刈型列削剖硎到劑開副判刪刖剎剩劃剝刺剴形
視	莧攪靦祆窺硯覲祀覺禍蜆覬觀筧祝見規覜覓祚祖現峴祕
州	洲劃酬川庚列班順劓允唐康庸圳剌釧鄉辨塘搪傭補慷慵鄘強褲戈充盞
坼	拆柝訴斥圻垢塊下埤塢壎埠堤墦垃坷坪坩坊坍均壞址城圩後戌卡斤土
後	役復彼待行綾徑徐凌得從陵徨徬傻稜稷很彿彷徵
茱	株侏銖珠硃朱殊蛛跦誅董蒐未千芹萸宋萎蕃狩懂
咪	迷米屎呼磷哨吵粥粱啖氣籽敉料粒粗粕掬憐燐璘遴乎京粟糜
痊	荃佺栓拴銓瘉全癒斑詮班疙王玨疹瘡篁筐逛框
菔	前籐葭菜葷蒙芟菠萌落蓬苜盈煎又腱股服葫蔽蔆藐莧爭菱萵剪箏箭腋
洗	銑先浩派洎況泊沃湩沉淫溴活洫沂汎湟沘壬浬泌法注衽淮沙汪沌妊汕
玀	囉邏儸鑼籮蘿羅還澴環獨寰遝狎篾鰥楞愣爵甍夢
瑾	僅謹饉玨鄞勤瑛弄璞琪班覲珊璜斑瑭瑰理玷珀玫玥玩玟玖王
賡	庚賁簣賞實賽貧匱圓潰遺隕損債寶資廁貝賤價漬槓慣嘖賸績蹟側臢鑽
椰	爺梆耶榔陬槨聶綁挪娜哪邦嘟橢擲洱弭楫茸瑯輒琊螂趣邶躑攝懾囁鑷
莎	沙萍菠茫範落蕩藩藻渺蒞蒲蔆娑薄鈔炒杪抄妙吵
嘐	僇膠穋謬繆寥廖擢濯曜櫂躍摺褶耀嗡翟習羿榻煽遢塌翰蹋瀚翠蓊翼翌
僧	漕會遭俗增僭繒儈曾偺鈿層借憎份醋嘈贈鹿倡槽
臧	藏贓宦臣臥臨臟馮凍準冶次冰凋腎堅卸冽冷勻緊豎賢凜凝啣凌羽鑒
蜩	蟲碉週惆啁凋螟綢稠蛆蝸蟲調蜆蛙蛔蛀蛄蜻蝴
狙	俎猾猙狎砠姐且疽狠猶狸狄狗狷詛猓犯祖沮租阻狽狂粗宜咀
殮	檢臉撿險鹼瞼殤驗簽殲殆歹殯殘蛤殖殉死列
竄	鼠窗患窟窮簾窄窘穿空窩裒竊舂搾窒窈竅舀窪究窖穹鼯突窠窯竇鼴潟串鼬
坡	陂破板皰彼玻菠疲皮皺跛被詖圾披鈹皴波簸格頗 
豌	碗腕惋婉蜿豉頭宛磴愷壹皚澄嶝燈澧橙瞪禮蹬體剜
潟	燄瀉滔臼舀淡寫裒舂漁艘焰潘澳添啗浩泊沃竄
求	救裘梂球毬支戎技岐妓吱枝肢芰甫朮取匍圃歧怵述浦捕庫埔哺脯娶莆
周	惆調裯雕告稠碉吉黠鯛週同結售桔圯拮蜩啁膨肚凋綢
純	縐約紲絲絢紀絀細縲糸紗紋紐納紙絆組紆紂糾維繡繩
鉀	鐸鐲胛柙押呷鈿甲匣狎賣鋰閘曼鏤獨澤濁擇燭曙鏝申薯
瑛	英弄璜瑾玨央滿璞映泱怏斑班瑁琛璃珪瞞琪鞅秧珊殃玟玫玥王盎席
博	捕莆狩誧哺輔傅將搏補甫傳薄賻圃鋪溥簿膊脯縛肘匍礴浦埔
賄	敗貝貼販賭財賬賺賊貽賤則賅賑賂貯賠購贈鋇貶賒賜賻贖員
重	動湩董腫鍾種懂慟踵衝裡千俚狸浬娌埋哩黑裡仟鋰範
稔	捻唸黍稚念鈐穗吟移秒穫伶祕私利禾季岑稜鈴稱稈程稀槍嵇稿稼稽稷
宰	薛僻辣滓癖鋅瓣梓辯辭辜辦避莘辨闢薜辛辮 
苗	菌萬廿槽漕貓遭芯昔茴田瞄曹艾描麴嘈茵尊錨童
艷	豔豐色豈鄧磴豌皚嶝愷逗脰痘豆頭碰碘凱豉吧禮磺瞪燈澧橙磋澄磁短
瓣	瓤薛僻辣宰滓癖呱弧霹辯孤辭瓠辦莘避辨闢狐瓢薜辛辮 
簡	籣澗間門捫們藺蘭燜嫻僩閑閒悶問冕閃閂櫚瀾攔爛潤欄憫猖晚
魑	漓璃魁鬼魎魅魍禽擒噙槐愧塊傀蒐機嘰魏魄魂瑰外幾
搽	搭擭描措摸茶條搓撙撲拱拼休搆塔褡濩拚拖撒攤葆荼
駑	篤闖驚駕騖媽嗎罵碼瑪馮螞怒弩努帑馬馱馭駐駟駛駒駁駢馳
焊	桿捍悍銲稈趕煬旱煜幹焜幹爆岸袒怛坦緹但桿肝汗奸竿旦
儔	檮鑄僱侯催壽仕禱佳躊僥疇濤籌侍隻僖燾堠雙伶
午	什杵缶仗估傘十人佗佇卒佬使倥率許缺啕悴掏淘淬缽萃萄搖瘁摔榣遙
錠	鎔稼隄棕針鎮臏提嬪檳靛濱渲綻梡鐵嫁傢喧貯儐定銨是暄淙緹銬碇佇堤
刻	氦孩利劾骸剌制劍賅劂垓刮削剖亥劇劑閡駭判該刪核咳剎剩劃刺剁刑
形	刑彬型箄彰彤邢薇彪彥開彫澎杉膨疹彭衫妍珍影彩
聊	鉚柳泖茆卯卿留聶劉聒溜遛榴聰貿瘤籀御啣唧迎抑仰耿恥耶取耳
嚶	櫻瓔纓嬰罌員鸚嘖損鋇圓韻噴隕賞噸貝賽賀贈償臢賸噯賠嘎滾賂鑽貽
楹	檻盈遍偏褊編蝙篇隘艋猛錳濫尷艦襤鑑柵盤籃
銷	捎哨趙俏屑鞘悄稍鐺硝睄鏜梢峭肖鈔尚宵逍消誚鎖帩
刮	刨別利釗刊割制剋刈恬甜亂舐括剖創聒舔副活刖剩劃舌刎剁
噫	憶億臆諳暗意樟漳璋境幛獐障鏡黯瘴音噶蟑竭焙培涪陪倍章
鶸	弱鴻鵬溺篛鶯鳥鷓鵡鵲鵑鵝鴿鴒鴣鴨鴃鳴鳩鷹鴛鳶
耙	杷把耒肥吧耕耗巴笆疤芭邑耜爬靶耦爸耘耨琶
胚	呸丕胱肝肛不脤胴且歪同杯朋豚壞脰膘爰冠芣否示
啊	婀阿呵崎倚椅畸錡寄荷犄琦可部郡柯郃坷河鄙邵何綺騎苛奇
訓	誹訕計訃訛誑謎謝譴訐討訌訊託訏訑記訥許訢訣訂註詁詛詐詳詢誚課
徉	律很徊徇往彿徒徠徜彷彼徵徙循待徐從行徵得役徨衍御微銜
編	終絡遍褊偏繙縊絹絳扁糸線蝙綿總縲綵紡騙紙綏綸祚綞絲篇
嫡	嘀摘滴適鏑謫姣商六妨滾婷嫌姆姍姐如孃交女冥脊姦
繭	蠻蟲蘿茲煎繡紳紼紜萋索蚤苜芷羅藪蘊蝨前藥剪芸糸蟲縷縲繈蟆螺絨
鼇	熬贅聱澠蠅繩遨嗷傲敖知癡佑智邀放疾矣君矢尺檄激踟敷蜘埃倣畋咫
綑	縲細絲綵糸紆紂繙綱綢絢維練絆絀紳組紲紋純紐納紗紀約繡糾絹綏結
緹	綻提堤隄縵縲絲織繒絃糸締緯線緩綜綺綿綵綸縉縞錠絹綏縮縴繚結絨
豫	橡像予預象杼抒妤序野舒澦墅多歿夥移栘侈爹
腋	液掖夜臃股迄腹胳腱健腿淬悴骯臆服臍遐又舷碎逾逢膀航粹侵踴蹂
靠	斐悲輩裴告啡翡非痱菲扉屝誹腓排徘匪俳罪壬造浩
慧	彗豐叼虐刁掃浸侵伺邦雪婦帚歸梆蚌長鋒綁悵烽峯
澹	擔簷膽瞻蟾譫贍簷詹洽減洞小澄漁逼渙逗沒澧潯湧涼涪浴沿涵汐汛漲
秩	迭佚跌軼失種祕秋秈和私稚禾秧租秤秣科稍稅稞秒程稻穆穢香番委黍
犖	熒榮塋鶯勞營瑩縈螢牽眸嶸犛癆牛撈嘮牢牟牲牡件
工	汞功攻巧貢扛江槓肛釭項佐紅缸虹築訌槓蚩鴻
鴻	鶸江鵬鶯鵡鳥鴨鳴釭肛槓扛鴿鴣鵑鵝鵠鵪鵲鴆鴉鴃鶴鳩鷓訌虹缸紅鴕
恐	鞏築築工惡汞釭槓肛扛江恣愆攻佐功貢忠悲氨寧蚩丁恥紅缸虹惰阿巧
勗	鋤助暖筋疽宜勞脅湧勝沮姐咀功窈且力粗組蛆砠祖租勤俎拋拗狙阻肋
篇	侖妒遍盞褊作楹藍偏籃扁笮炸編蝙肩匾盆檻濫盛咋騙昨盧襤瘟鑑盡蓋柞
影	衫彤杉顥彰彭彩彫彪形彥憬晾景璟箄掠涼吵京
娜	哪梆媽嘟弔婀躑擲瑯椰那爺榔槨琊綁螂挪廊邶
鏨	暫塹斬嶄漸慚斤寅芹近析昕沂折圻聽匠斧演晰斯逝淅浙祈斫欣所
淒	悽棲萋汁妻沬沽沛渚演滇沖汝沱潸澴湖漸潮淦淵浪浦津洱活派洩沫沸
谿	雞裕浴峪俗豁容溪奚谷蹊鎔幼熔榕鉛溶紛欲卻以腳拗蓉
禾	私秈委和秋香番禿利季科秒秣租祕稍黍稚稞秉秀秤秦秩秧倭稈程菌萎
創	剖刮割劃倉副釗剎削剌劍劊劑刺到制判利刪刨別刖刑列刊刈
珠	琍朱玥王球茱跦珞班硃誅玨瑰斑侏殊株銖蛛珀
鈷	枯沽姑咕估針錮古苦居固鋸牯骷蛄胡湖葫詁銨瑚糊做罟
俳	啡排腓徘誹匪屝菲痱扉罪霏靡非佻儘悲斐跳裴輩靠
護	諾譙議謀講擭諂詼談獲謂誤誥詳濩諭諳詻誰穫謊設詮詰謨誡譜譁諜誌
問	閭闆門悶閑間閒閃閂闡閉閔閏開閎閘聞閨閩閱闌閥閣閤捫們櫚
素	嗉絲累系索紊紮紫絮糸喲縲濰緊繁繫細毒青羅蘊紗紋純紐納絆絃絀組
沬	妹味昧汁未魅沽沛宋沐淒渚朱滇演沱潸瀋湖潮守
瞳	潼撞憧幢鐘僮童瞄眩賠瞇瞧臆瞞競睦睬暗黯焙喱涪接培倍睢睏目瞿
訕	計訃記詣訐討訌訊託訏訑訪訣訥許訢訂註詠評詞詁詛詐訴訶詳誠話誅
疼	洛終扳疒烙閣咯板阪鈑鼕皈返恪略叛冬瘦胳療病逢鉻癢咚格客
